"B1","B2","B3","B4","B55","B6","B7","B10","B11","profundidade_S","profundidade_ZF","profundidade_F","temperatura_ar","temperatura_agua_S","temperatura_agua_ZF","temperatura_agua_F","condutividade_eletrica_S","condutividade_eletrica_ZF","condutividade_eletrica_F","ph_S","ph_ZF","ph_F","oxigenio_dissolvido_S","oxigenio_dissolvido_ZF","oxigenio_dissolvido_F","clorofila_a_S","clorofila_a_ZF","clorofila_a_F","fosforo_S","fosforo_ZF","fosforo_F","nitrogenio_S","nitrogenio_ZF","nitrogenio_F","solidos_suspensao_S","solidos_suspensao_ZF","solidos_suspensao_F","alcalinidade_S","alcalinidade_ZF","alcalinidade_F","nitrato_S","nitrato_ZF","nitrato_F","dbo_S","dbo_ZF","dbo_F","sdt_S","sdt_ZF","sdt_F","potencial_redox_S","potencial_redox_ZF","potencial_redox_F","coliformes_termotolerantes_S","coliformes_termotolerantes_ZF","coliformes_termotolerantes_F","cor_verdadeira_S","cor_verdadeira_ZF","cor_verdadeira_F","ferro_dissolvido_S","ferro_dissolvido_ZF","ferro_dissolvido_F","dqo_S","dqo_ZF","dqo_F","oleos_graxas_S","oleos_graxas_ZF","oleos_graxas_F","solidos_totais_S","solidos_totais_ZF","solidos_totais_F","iet_S","iet_ZF","iet_F","sulfeto_S","sulfeto_ZF","sulfeto_F","sulfato_S","sulfato_ZF","sulfato_F","iqa_S","iqa_ZF","iqa_F","surfactantes_S","surfactantes_ZF","surfactantes_F","turbidez_S","turbidez_ZF","turbidez_F","transparencia_S","transparencia_ZF","transparencia_F","dod_S","dod_ZF","dod_F","manganes_total_S","manganes_total_ZF","manganes_total_F","pontos_coleta","data_imagem","data_coleta"
"204","260","391","187","68","55","41","2945","2929","0.2","3","","28","23.5","23.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","10","","","","","","","","","","","","56","","","","","","","","","2.31","","","","","","","","","4.21","3.95","","2","","","","","","0.025","","","TM25","30_08_18","22_08_18"
"211","259","418","177","51","50","41","2960","2941","0.2","2","","28.5","24.5","23.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5","","","","","","","","","10","","","","","","","","","","","","36.5","","","","","","","","","1.54","","","","","","","","","3.41","4.30","","2","","","","","","0.025","","","TM30","30_08_18","22_08_18"
"188","238","303","109","30","19","10","2948","2930","0.2","3","","28.5","23.4","23.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5","","","","","","","","","10","","","","","","","","","","","","74","","","","","","","","","1.5","","","","","","","","","2.95","3.19","","2","","","","","","0.025","","","TM35","30_08_18","22_08_18"
"182","226","275","126","77","63","49","2950","2933","0.2","3","","28","23.5","22.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4","","","","","","","","","10","","","","","","","","","","","","50","","","","","","","","","1.52","","","","","","","","","2.33","2.45","","2","","","","","","0.025","","","TM40","30_08_18","21_08_18"
"197","240","467","243","84","33","22","2984","2958","0","0.97","","23","0","26.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","9.30","14.90","","0.65","","","","","","0","","","TM15","20_12_18","22_11_18"
"494","594","953","812","499","389","319","2980","2953","0.2","0.3","","21.5","26.2","26.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","51.70","50.70","","0.20","","","","","","0","","","TM20","20_12_18","22_11_18"
"199","245","397","176","92","45","33","2983","2956","0.2","3.75","","21.5","26.4","26.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.06","5.80","","2.50","","","","","","0","","","TM25","20_12_18","22_11_18"
"165","214","417","159","65","44","35","2994","2967","0.2","2.25","","21.5","27.2","27.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","4.39","5.25","","1.50","","","","","","0","","","TM30","20_12_18","21_11_18"
"204","275","422","145","42","19","13","2983","2957","0.2","3.75","","20","25.7","25.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.19","3.63","","2.50","","","","","","0","","","TM35","20_12_18","21_11_18"
"372","493","788","326","122","99","82","2986","2965","0.2","3","","20.5","26.7","26.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.38","3.28","","2","","","","","","0","","","TM40","20_12_18","20_11_18"
